"countries","Population","GDP","Climate","Country","Happiness_Score","Rates","Life Expectancy","HDI Rank","HumanDevelopmentIndex"
"Afghanistan ","31056997","700","1","Afghanistan","3.36","6.4","52.72","168","0.494"
"Albania ","3581655","4500","3","Albania","4.655","5.6","78.1","68","0.782"
"Algeria ","32930091","6000","1","Algeria","6.355","3.3","76.5","85","0.753"
"Argentina ","39921833","11200","3","Argentina","6.65","9.1","76.7","47","0.822"
"Armenia ","2976372","3500","4","Armenia","4.36","5.7","74.9","83","0.749"
"Australia ","20264082","29000","1","Australia","7.313","11.7","82.3","3","0.938"
"Austria ","8192880","30000","3","Austria","7.119","11.4","81.4","20","0.906"
"Azerbaijan ","7961619","3400","1","Azerbaijan","5.291","2.6","73.3","80","0.757"
"Bahrain ","698585","16900","1","Bahrain","6.218","5.7","79.1","43","0.846"
"Bangladesh ","147365352","1900","2","Bangladesh","4.643","6.1","70.7","136","0.597"
"Belarus ","10293011","6100","4","Belarus","5.802","21.4","71.3","53","0.805"
"Belgium ","10379067","29100","3","Belgium","6.929","15.7","80.5","17","0.915"
"Belize ","287730","4900","2","Belize","5.956","5.9","71.9","106","0.709"
"Benin ","7862944","1100","2","Benin","3.484","15.7","62.6","163","0.512"
"Bhutan ","2279723","1300","2","Bhutan","5.196","11.6","73","134","0.609"
"Botswana ","1639833","9000","1","Botswana","3.974","11.5","60.13","101","0.712"
"Brazil ","188078227","7600","2","Brazil","6.952","6.1","74.5","79","0.758"
"Bulgaria ","7385367","7600","3","Bulgaria","4.217","7.9","74.9","51","0.81"
"Burundi ","8090068","600","2","Burundi","2.905","15","61.4","185","0.418"
"Cambodia ","13881427","1900","2","Cambodia","3.907","5.9","69.7","146","0.576"
"Cameroon ","17340702","1800","1,5","Cameroon","4.513","19.5","59.7","151","0.553"
"Chad ","9944201","1200","2","Chad","3.763","15.5","58.01","186","0.405"
"Chile ","16134219","9900","3","Chile","6.705","9.7","79.6","44","0.842"
"China ","1313973713","5000","1,5","China","5.245","8","76.5","86","0.748"
"Colombia ","43593035","6300","2","Colombia","6.481","7","78.2","90","0.747"
"Comoros ","690948","700","2","Comoros","3.956","11.1","68.2","165","0.502"
"Denmark ","5450661","31100","3","Denmark","7.526","9.2","80.5","11","0.928"
"Ecuador ","13547510","3300","2","Ecuador","5.976","7.2","76","86","0.749"
"Egypt ","78887007","4000","1","Egypt","4.362","4.4","71.7","115","0.694"
"Estonia ","1324333","12300","3","Estonia","5.517","14.4","78","30","0.868"
"Ethiopia ","74777981","700","2","Ethiopia","4.508","11.4","65.7","173","0.457"
"Finland ","5231372","27400","3","Finland","7.413","13.8","80.9","15","0.918"
"France ","60876136","27600","4","France","6.478","12.1","81.9","24","0.899"
"Gabon ","1424906","5500","2","Gabon","4.121","9.6","66.81","110","0.698"
"Georgia ","4661473","2500","3","Georgia","4.252","6.7","73.2","70","0.776"
"Germany ","82422299","27600","3","Germany","6.994","9.1","80.9","5","0.934"
"Ghana ","22409572","2200","2","Ghana","4.276","8.7","65.8","140","0.588"
"Greece ","10688058","20000","3","Greece","5.033","3.8","81","31","0.868"
"Guinea ","9690222","2100","2","Guinea","3.607","10.5","59.6","175","0.449"
"Haiti ","8308504","1600","2","Haiti","4.028","12.2","64.8","168","0.496"
