index,Country,Happiness_Score,Rates,Life Expectancy,HDI Rank,HumanDevelopmentIndex
0,Afghanistan,3.36,6.4,52.72,168,0.494
1,Albania,4.655,5.6,78.1,68,0.782
2,Algeria,6.355,3.3,76.5,85,0.753
3,Angola,3.866,8.9,60,147,0.577
4,Argentina,6.65,9.1,76.7,47,0.822
5,Armenia,4.36,5.7,74.9,83,0.749
6,Australia,7.313,11.7,82.3,3,0.938
7,Austria,7.119,11.4,81.4,20,0.906
8,Azerbaijan,5.291,2.6,73.3,80,0.757
9,Bahrain,6.218,5.7,79.1,43,0.846
10,Bangladesh,4.643,6.1,70.7,136,0.597
11,Belarus,5.802,21.4,71.3,53,0.805
12,Belgium,6.929,15.7,80.5,17,0.915
13,Belize,5.956,5.9,71.9,106,0.709
14,Benin,3.484,15.7,62.6,163,0.512
15,Bhutan,5.196,11.6,73,134,0.609
16,Botswana,3.974,11.5,60.13,101,0.712
17,Brazil,6.952,6.1,74.5,79,0.758
18,Bulgaria,4.217,7.9,74.9,51,0.81
19,Burundi,2.905,15,61.4,185,0.418
20,Cambodia,3.907,5.9,69.7,146,0.576
21,Cameroon,4.513,19.5,59.7,151,0.553
22,Canada,7.404,10.4,81.7,12,0.922
23,Chad,3.763,15.5,58.01,186,0.405
24,Chile,6.705,9.7,79.6,44,0.842
25,China,5.245,8,76.5,86,0.748
26,Colombia,6.481,7,78.2,90,0.747
27,Comoros,3.956,11.1,68.2,165,0.502
28,Croatia,5.488,11.5,77.8,46,0.828
29,Cyprus,5.546,4.5,81.9,32,0.867
30,Denmark,7.526,9.2,80.5,11,0.928
31,Ecuador,5.976,7.2,76,86,0.749
32,Egypt,4.362,4.4,71.7,115,0.694
33,Estonia,5.517,14.4,78,30,0.868
34,Ethiopia,4.508,11.4,65.7,173,0.457
35,Finland,7.413,13.8,80.9,15,0.918
36,France,6.478,12.1,81.9,24,0.899
37,Gabon,4.121,9.6,66.81,110,0.698
