"Country","Life Expectancy","HDI Rank","HumanDevelopmentIndex"
"Afghanistan","52.72","168","0.494"
"Albania","78.1","68","0.782"
"Algeria","76.5","85","0.753"
"Andorra","84.8","35","0.856"
"Angola","60","147","0.577"
"Argentina","76.7","47","0.822"
"Armenia","74.9","83","0.749"
"Australia","82.3","3","0.938"
"Austria","81.4","20","0.906"
"Azerbaijan","73.3","80","0.757"
"Bahamas","73.9","54","0.806"
"Bahrain","79.1","43","0.846"
"Bangladesh","70.7","136","0.597"
"Barbados","75.8","58","0.799"
"Belarus","71.3","53","0.805"
"Belgium","80.5","17","0.915"
"Belize","71.9","106","0.709"
"Benin","62.6","163","0.512"
"Bhutan","73","134","0.609"
"Botswana","60.13","101","0.712"
"Brazil","74.5","79","0.758"
"Bulgaria","74.9","51","0.81"
"Burundi","61.4","185","0.418"
"Cambodia","69.7","146","0.576"
"Cameroon","59.7","151","0.553"
"Canada","81.7","12","0.922"
"Chad","58.01","186","0.405"
"Chile","79.6","44","0.842"
"China","76.5","86","0.748"
"Colombia","78.2","90","0.747"
"Comoros","68.2","165","0.502"
"Croatia","77.8","46","0.828"
"Cuba","78.3","73","0.774"
"Cyprus","81.9","32","0.867"
"Denmark","80.5","11","0.928"
"Djibouti","64.51","172","0.474"
"Dominica","73.2","103","0.718"
"Ecuador","76","86","0.749"
"Egypt","71.7","115","0.694"
"Eritrea","60.8","179","0.436"
"Estonia","78","30","0.868"
"Ethiopia","65.7","173","0.457"
"Fiji","65.9","92","0.738"
"Finland","80.9","15","0.918"
"France","81.9","24","0.899"
"Gabon","66.81","110","0.698"
"Gambia","68.2","174","0.457"
"Georgia","73.2","70","0.776"
"Germany","80.9","5","0.934"
"Ghana","65.8","140","0.588"
"Greece","81","31","0.868"
"Grenada","71.6","75","0.77"
"Guinea","59.6","175","0.449"
"Guinea-Bissau","55.9","177","0.453"
"Guyana","67.2","125","0.652"
"Haiti","64.8","168","0.496"
"Honduras","73.2","133","0.614"
"Hungary","76.9","45","0.835"
"Iceland","83.3","6","0.933"
"India","67.5","130","0.636"
"Indonesia","71.4","116","0.691"
"Iran","74.6","60","0.796"
"Iraq","67.1","120","0.672"
"Ireland","81.8","4","0.934"
"Israel","82.91","22","0.902"
"Italy","82.3","28","0.878"
"Jamaica","75.2","97","0.732"
"Japan","83.3","19","0.907"
"Jordan","78.6","95","0.735"
"Kazakhstan","70.2","58","0.797"
"Kenya","65.2","142","0.585"
"Kiribati","63.2","134","0.61"
"Kuwait","80.4","56","0.804"
"Lao","67.6","139","0.598"
"Latvia","75.6","41","0.844"
"Lebanon","79.1","80","0.753"
"Lesotho","48.86","159","0.516"
"Liberia","64.63","181","0.432"
"Libya","73.21","108","0.693"
"Liechtenstein",NULL,"17","0.915"
"Lithuania","75.4","35","0.855"
"Luxembourg","82.3","21","0.904"
"Madagascar","63.7","161","0.517"
"Malawi","60.9","171","0.474"
"Malaysia","75.5","57","0.799"
"Maldives","80","101","0.712"
"Mali","60.4","182","0.421"
"Malta","82.2","29","0.875"
"Mauritania","69.8","159","0.516"
"Mauritius","74.7","65","0.788"
"Mexico","76.2","74","0.772"
"Micronesia","69","131","0.627"
"Moldova","74.2","112","0.697"
"Mongolia","67.4","92","0.743"
"Montenegro","77.3","50","0.81"
"Morocco","74.8","123","0.662"
"Mozambique","58.12","180","0.435"
"Myanmar","68.4","148","0.574"
"Namibia","64.3","129","0.645"
"Nepal","69.2","149","0.569"
"Netherlands","81.3","10","0.928"
"Nicaragua","78.2","124","0.657"
"Niger","61.3","189","0.351"
"Nigeria","65.51","157","0.53"
"Norway","82","1","0.951"
"Oman","77.4","48","0.822"
"Pakistan","66.2","150","0.56"
"Palau",NULL,"60","0.798"
"Panama","78.5","66","0.785"
"Paraguay","74.5","110","0.702"
"Peru","79.7","89","0.748"
"Philippines","71.3","113","0.696"
"Poland","77.8","33","0.86"
"Portugal","80.9","41","0.845"
"Qatar","79.6","37","0.855"
"Romania","75.3","52","0.807"
"Russia","71.1","49","0.815"
"Rwanda","66.1","158","0.52"
"Samoa","73.3","104","0.711"
"Senegal","65.6","164","0.499"
"Serbia","76.5","67","0.785"
"Seychelles","74.2","62","0.793"
"Singapore","82.1","9","0.93"
"Slovakia","77.8","38","0.853"
"Slovenia","81","25","0.894"
"Spain","82.7","26","0.889"
"Sudan","67.8","167","0.499"
"Suriname","72.2","100","0.719"
"Sweden","82.1","7","0.932"
"Switzerland","83.1","2","0.943"
"Syria","69.21","155","0.536"
"Tajikistan","72.9","127","0.647"
"Tanzania","64.91","154","0.533"
"Thailand","74.8","83","0.748"
"Timor-Leste","72.5","132","0.631"
"Togo","61.9","165","0.5"
"Tonga","71.7","98","0.724"
"Tunisia","77.6","95","0.732"
"Turkey","79.3","64","0.787"
"Turkmenistan","70.4","108","0.705"
"Uganda","61.91","162","0.508"
"Ukraine","71.7","88","0.746"
"Uruguay","77","55","0.802"
"Uzbekistan","72.1","105","0.703"
"Vanuatu","65.1","138","0.6"
"Venezuela","74.8","78","0.766"
"Vietnam","75.6","116","0.689"
"Yemen","64.92","178","0.462"
"Zambia","57.1","144","0.586"
"Zimbabwe","61.69","156","0.532"
