countries,Population,GDP,Climate
Afghanistan ,31056997,700,1
Albania ,3581655,4500,3
Algeria ,32930091,6000,1
Anguilla ,13477,8600,2
Antigua & Barbuda ,69108,11000,2
Argentina ,39921833,11200,3
Armenia ,2976372,3500,4
Aruba ,71891,28000,2
Australia ,20264082,29000,1
Austria ,8192880,30000,3
Azerbaijan ,7961619,3400,1
"Bahamas, The ",303770,16700,2
Bahrain ,698585,16900,1
Bangladesh ,147365352,1900,2
Barbados ,279912,15700,2
Belarus ,10293011,6100,4
Belgium ,10379067,29100,3
Belize ,287730,4900,2
Benin ,7862944,1100,2
Bermuda ,65773,36000,2
Bhutan ,2279723,1300,2
Bolivia ,8989046,2400,"1,5"
Botswana ,1639833,9000,1
Brazil ,188078227,7600,2
British Virgin Is. ,23098,16000,2
Brunei ,379444,18600,2
Bulgaria ,7385367,7600,3
Burkina Faso ,13902972,1100,2
Burma ,47382633,1800,2
Burundi ,8090068,600,2
Cambodia ,13881427,1900,2
Cameroon ,17340702,1800,"1,5"
Cape Verde ,420979,1400,3
Cayman Islands ,45436,35000,2
Central African Rep. ,4303356,1100,2
Chad ,9944201,1200,2
Chile ,16134219,9900,3
China ,1313973713,5000,"1,5"
Colombia ,43593035,6300,2
Comoros ,690948,700,2
"Congo, Dem. Rep. ",62660551,700,2
"Congo, Repub. of the ",3702314,700,2
Costa Rica ,4075261,9100,2
Cote d'Ivoire ,17654843,1400,2
Cuba ,11382820,2900,2
Czech Republic ,10235455,15700,3
Denmark ,5450661,31100,3
Djibouti ,486530,1300,1
Dominica ,68910,5400,2
Dominican Republic ,9183984,6000,2
Ecuador ,13547510,3300,2
Egypt ,78887007,4000,1
El Salvador ,6822378,4800,2
Equatorial Guinea ,540109,2700,2
Eritrea ,4786994,700,"1,5"
Estonia ,1324333,12300,3
Ethiopia ,74777981,700,2
Fiji ,905949,5800,2
Finland ,5231372,27400,3
France ,60876136,27600,4
French Guiana ,199509,8300,2
French Polynesia ,274578,17500,2
Gabon ,1424906,5500,2
"Gambia, The ",1641564,1700,2
Georgia ,4661473,2500,3
Germany ,82422299,27600,3
Ghana ,22409572,2200,2
Greece ,10688058,20000,3
Grenada ,89703,5000,2
Guadeloupe ,452776,8000,2
Guatemala ,12293545,4100,2
Guinea ,9690222,2100,2
Guinea-Bissau ,1442029,800,2
Guyana ,767245,4000,2
Haiti ,8308504,1600,2
Honduras ,7326496,2600,2
Hong Kong ,6940432,28800,2
Hungary ,9981334,13900,3
Iceland ,299388,30900,3
India ,1095351995,2900,"2,5"
Indonesia ,245452739,3200,2
Iran ,68688433,7000,1
Iraq ,26783383,1500,1
Ireland ,4062235,29600,3
Israel ,6352117,19800,3
Jamaica ,2758124,3900,2
Japan ,127463611,28200,3
Jordan ,5906760,4300,1
Kazakhstan ,15233244,6300,4
Kenya ,34707817,1000,"1,5"
"Korea, North ",23113019,1300,3
"Korea, South ",48846823,17800,3
Kuwait ,2418393,19000,1
Kyrgyzstan ,5213898,1600,"2,5"
Laos ,6368481,1700,2
Latvia ,2274735,10200,3
Lesotho ,2022331,3000,3
Liberia ,3042004,1000,2
Liechtenstein ,33987,25000,4
Macau ,453125,19400,2
Madagascar ,18595469,800,2
Malawi ,13013926,600,2
Malaysia ,24385858,9000,2
Maldives ,359008,3900,2
Mali ,11716829,900,2
Marshall Islands ,60422,1600,2
Martinique ,436131,14400,2
Mauritania ,3177388,1800,1
Mauritius ,1240827,11400,2
Mexico ,107449525,9000,"1,5"
"Micronesia, Fed. St. ",108004,2000,2
Mongolia ,2832224,1800,1
Mozambique ,19686505,1200,2
Namibia ,2044147,7200,1
Netherlands ,16491461,28600,3
Netherlands Antilles ,221736,11400,2
New Caledonia ,219246,15000,2
New Zealand ,4076140,21600,3
Nicaragua ,5570129,2300,2
Niger ,12525094,800,1
Nigeria ,131859731,900,"1,5"
Norway ,4610820,37800,3
Oman ,3102229,13100,1
Pakistan ,165803560,2100,1
Palau ,20579,9000,2
Panama ,3191319,6300,2
Papua New Guinea ,5670544,2200,2
Paraguay ,6506464,4700,2
Peru ,28302603,5100,"1,5"
Philippines ,89468677,4600,2
